id,label
1,4
10,4
100,9
1000,12
1001,12
1002,13
1003,10
1004,4
1005,5
1006,0
1007,0
1008,5
1009,4
101,13
1010,2
1011,0
1012,13
1013,0
1014,0
1015,12
1016,11
1017,0
1018,0
1019,13
102,9
1020,9
1021,8
1022,3
1023,4
1024,4
1025,5
1026,4
1027,4
1028,0
1029,15
103,11
1030,0
1031,4
1032,11
1033,10
1034,0
1035,9
1036,0
1037,5
1038,9
1039,0
104,9
1040,4
1041,0
1042,4
1043,12
1044,2
1045,0
1046,12
1047,10
1048,14
1049,0
105,0
1050,0
1051,12
1052,3
1053,0
1054,0
1055,4
1056,12
1057,9
1058,11
1059,0
106,3
1060,0
1061,0
1062,0
1063,13
1064,4
1065,5
1066,8
1067,0
1068,3
1069,0
107,0
1070,4
1071,10
1072,4
1073,9
1074,10
1075,0
1076,9
1077,0
1078,0
1079,0
108,0
1080,9
1081,0
1082,0
1083,9
1084,15
1085,3
1086,5
1087,5
1088,0
1089,4
109,3
1090,5
1091,4
1092,0
1093,0
1094,0
1095,0
1096,4
1097,4
1098,0
1099,0
11,0
110,0
1100,0
1101,11
1102,2
1103,0
1104,2
1105,3
1106,0
1107,13
1108,7
1109,12
111,4
1110,9
1111,10
1112,0
1113,2
1114,2
1115,0
1116,9
1117,3
1118,0
1119,0
112,13
1120,0
1121,4
1122,0
1123,4
1124,9
1125,13
1126,9
1127,1
1128,0
1129,4
113,3
1130,5
1131,13
1132,4
1133,0
1134,0
1135,0
1136,13
1137,0
1138,4
1139,0
114,3
1140,0
1141,3
1142,0
1143,0
1144,14
1145,9
1146,0
1147,11
1148,11
1149,3
115,5
1150,11
1151,0
1152,0
1153,2
1154,3
1155,4
1156,2
1157,10
1158,9
1159,1
116,2
1160,11
1161,0
1162,5
1163,0
1164,0
1165,4
1166,0
1167,0
1168,0
1169,13
117,3
1170,0
1171,0
1172,3
1173,3
1174,3
1175,13
1176,9
1177,0
1178,6
1179,1
118,0
1180,0
1181,13
1182,2
1183,3
1184,13
1185,9
1186,5
1187,0
1188,0
1189,13
119,0
1190,0
1191,3
1192,0
1193,0
1194,1
1195,3
1196,3
1197,1
1198,13
1199,6
12,2
120,15
1200,3
1201,12
1202,13
1203,9
1204,13
1205,1
1206,1
1207,12
1208,14
1209,13
121,1
1210,1
1211,9
1212,7
1213,13
1214,9
1215,1
1216,14
1217,9
1218,1
1219,3
122,3
1220,1
1221,7
1222,4
1223,9
1224,3
1225,3
1226,1
1227,1
1228,3
1229,1
123,3
1230,1
1231,3
1232,1
1233,2
1234,2
1235,5
1236,3
1237,1
1238,0
1239,3
124,1
1240,3
1241,1
1242,5
1243,13
1244,1
1245,1
1246,13
1247,13
1248,1
1249,4
125,4
1250,9
1251,1
1252,13
1253,12
1254,9
1255,8
1256,13
1257,13
1258,1
1259,6
126,14
1260,13
1261,1
1262,1
1263,4
1264,3
1265,3
1266,1
1267,7
1268,3
1269,1
127,6
1270,1
1271,13
1272,4
1273,0
1274,8
1275,4
1276,1
1277,14
1278,7
1279,13
128,1
1280,13
1281,1
1282,13
1283,2
1284,2
1285,13
1286,3
1287,13
1288,15
1289,2
129,2
1290,10
1291,10
1292,1
1293,3
1294,13
1295,6
1296,10
1297,1
1298,9
1299,1
13,13
130,13
1300,1
1301,13
1302,2
1303,7
1304,9
1305,1
1306,3
1307,12
1308,3
1309,1
131,13
1310,13
1311,10
1312,10
1313,10
1314,2
1315,10
1316,10
1317,10
1318,10
1319,3
132,10
1320,10
1321,10
1322,14
1323,10
1324,10
1325,10
1326,10
1327,10
1328,10
1329,10
133,10
1330,10
1331,10
1332,10
1333,2
1334,10
1335,14
1336,10
1337,10
1338,10
1339,13
134,14
1340,10
1341,10
1342,10
1343,3
1344,12
1345,10
1346,10
1347,10
1348,10
1349,10
135,10
1350,10
1351,10
1352,9
1353,10
1354,10
1355,10
1356,10
1357,10
1358,0
1359,10
136,10
1360,10
1361,10
1362,10
1363,10
1364,10
1365,5
1366,0
1367,10
1368,10
1369,10
137,10
1370,2
1371,10
1372,14
1373,10
1374,10
1375,10
1376,2
1377,10
1378,10
1379,10
138,10
1380,10
1381,10
1382,10
1383,10
1384,10
1385,10
1386,2
1387,10
1388,14
1389,10
139,10
1390,4
1391,14
1392,10
1393,10
1394,10
1395,10
1396,10
1397,10
1398,10
1399,10
14,10
140,10
1400,10
1401,10
1402,14
1403,10
1404,10
1405,10
1406,10
1407,10
1408,10
1409,10
141,10
1410,10
1411,10
1412,4
1413,10
1414,10
1415,10
1416,10
1417,10
1418,10
1419,10
142,2
1420,10
1421,10
1422,3
1423,11
1424,11
1425,0
1426,11
1427,9
1428,11
1429,2
143,5
1430,8
1431,0
1432,0
1433,11
1434,0
1435,5
1436,11
1437,14
1438,12
1439,11
144,11
1440,11
1441,11
1442,3
1443,5
1444,11
1445,0
1446,11
1447,11
1448,11
1449,12
145,11
1450,3
1451,15
1452,11
1453,11
1454,0
1455,11
1456,9
1457,11
1458,12
1459,12
146,11
1460,11
1461,5
1462,12
1463,0
1464,11
1465,5
1466,11
1467,13
1468,12
1469,4
147,3
1470,12
1471,12
1472,9
1473,13
1474,2
1475,12
1476,5
1477,15
1478,13
1479,5
148,12
1480,0
1481,11
1482,12
1483,13
1484,0
1485,12
1486,12
1487,2
1488,13
1489,3
149,12
1490,12
1491,11
1492,11
1493,12
1494,12
1495,12
1496,12
1497,5
1498,13
1499,14
15,13
150,13
1500,12
1501,5
1502,12
1503,14
1504,12
1505,9
1506,5
1507,12
1508,8
1509,11
151,0
1510,0
1511,5
1512,12
1513,12
1514,12
1515,12
1516,15
1517,12
1518,12
1519,0
152,12
1520,12
1521,12
1522,3
1523,11
1524,13
1525,4
1526,13
1527,13
1528,12
1529,12
153,13
1530,12
1531,12
1532,13
1533,12
1534,9
1535,12
1536,2
1537,12
1538,3
1539,0
154,14
1540,9
1541,11
1542,3
1543,12
1544,5
1545,11
1546,12
1547,2
1548,12
1549,13
155,5
1550,12
1551,13
1552,13
1553,2
1554,6
1555,6
1556,12
1557,5
1558,3
1559,2
156,9
1560,12
1561,12
1562,12
1563,9
1564,12
1565,12
1566,13
1567,5
1568,12
1569,12
157,5
1570,13
1571,12
1572,9
1573,12
1574,5
1575,13
1576,11
1577,11
1578,12
1579,2
158,0
1580,12
1581,15
1582,11
1583,12
1584,12
1585,13
1586,13
1587,12
1588,2
1589,12
159,12
1590,12
1591,5
1592,5
1593,12
1594,13
1595,2
1596,15
1597,11
1598,12
1599,11
16,5
160,9
1600,12
1601,4
1602,2
1603,3
1604,11
1605,12
1606,15
1607,12
1608,12
1609,12
161,15
1610,11
1611,12
1612,1
1613,15
1614,2
1615,12
1616,3
1617,13
1618,10
1619,9
162,2
1620,13
1621,13
1622,13
1623,3
1624,13
1625,6
1626,2
1627,13
1628,12
1629,13
163,9
1630,2
1631,13
1632,9
1633,5
1634,13
1635,9
1636,1
1637,12
1638,13
1639,12
164,13
1640,13
1641,1
1642,13
1643,15
1644,15
1645,9
1646,13
1647,15
1648,13
